course_code,name,courseries,term,course_major,course_type,course_level,teaching_type,grading_type,credit,hours,hours_per_week,campus,start_week,end_week,teachers,description,description_eng,teaching_material,reference_material,student_requirements,homepage
CMAA 6019B,Creative Prototyping: Designing Interactive Experiences,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"TONG, Xin","This course offers a comprehensive introduction to UX/interfaces/interaction design methods with a focus on prototyping interactive and intelligent interfaces and systems. Students will explore core design theories, human-centered design principles, and gain hands-on experience in developing prototypes using web frameworks and generative AI tools. Through a combination of seminars, practical design sessions, and a final project, students will acquire the technical and critical thinking skills needed to create innovative, interactive, and intelligent technologies.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6019C,Sensor Technologies in Computational Arts and HCI,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LIANG, Chen","This course offers practical methods for designing and developing interactive techniques using off-the-shelf sensors, focusing on creative experiences like art creation and spatial interaction in computational arts and HCI.
Students will gain hands-on experience throughout the entire process of developing sensor-based interaction methods and applications. The course, structured around case studies, covers sensor data collection, data organization, signal processing, and the use of machine learning to create engaging, responsive systems.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6019D,Immersive Cinema,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"VON CHAMIER-WAITE, CLEA THERESA","In this course we will explore the artistic, formal, and technical processes involved in creating motion pictures for non-standard screens and multi-channel, immersive cinema installations that occupy a unique, multi-projection cinema architecture. We will create work that expands cinema from passively viewed, two-dimensional projection in a traditional theater architecture to an embodied, poly-perspectival configuration of cinema in space. Approaching cinema as a form of concrete poetry, we will investigate the potential for expression and meaning-making rooted within the specificity of different formal presentation formats to develop an individual language of expression.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6102,Computational Media and Arts Program Seminar II,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,1,1,1,GZ,1,13,"WANG, Zeyu;YU, Luwen",A regular series of seminars presenting research problems currently under investigation. Graded P or F.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6990,MPhil Thesis Research,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Master's thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 7990,Doctoral Thesis Research,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
EOAS 5002,Atmosphere-Ocean Dynamics,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LI, Qing","This course presents fundamental geophysical fluid dynamics in the ocean and atmosphere system by introducing governing concepts and principles in ocean and atmospheric circulation as well as the exchanges of buoyancy, energy and momentum fluxes in the interface between air and sea.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 5003,Coupled Physical-Biogeochemical Dynamics in the Ocean,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"JI, Qixing;YU, Liuqian","The biogeochemical cycle in the ocean is not only governed by the chemical and biological processes, but also regulated critically by the physical processes in the ocean. The topics of this course cover ocean circulation and biogeochemical dynamics, marine phytoplankton and zooplankton, biogeochemical response to circulation dynamics in the ocean.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 5004,Earth System Modeling,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,4,4,4,GZ,1,13,"LIU, Zhen;YU, Liuqian;LIU, Zhen;YU, Liuqian","The course covers major processes and interactions of Earth system components and introduces the related numerical modeling concepts and techniques. It provides hands-on modeling projects to explore ideas of designing, constructing, and applying models to test hypotheses and enhance understanding of the Earth system processes and their response and feedback to the climate.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 5007,Watershed Biogeochemistry,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"CHI, Jinshu;LIU, Yi","This course focuses on the biogeochemical, hydrological, and ecological connections across the land-air-water continuum in watersheds. Specific topics include 1) an overview of watershed biogeochemical cycles, 2) land-air exchanges of carbon, water, and energy, 3) nutrient cycles in land and waters, 4) biogeochemical cycling in groundwater, and 5) watershed biogeochemistry in climate change.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 5008,Academic Presentation Skills,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,1,1,1,GZ,1,13,"CHI, Jinshu;LIU, Yi",This course is designed to provide postgraduate students with the opportunity to practice speaking and presenting their research in front of scientific audiences. Students will select research topics and organize presentations within the interdisciplinary studies of ocean-atmosphere-land interactions for faculty and other students.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 6000G,"Global Environmental Challenges: Science, Technology & Policy",EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"GUO, Yixin","Our generations face rapid global environmental changes resulting from rising human interventions to the air, water, land and climate. Addressing crucial contemporary environmental challenge requires an interdisciplinary mind set that recognizes the interconnections among environmental problems, as well as the science of their causes, potential technological solutions and policy instruments. This is a course covering selected topics in cutting-edge earth system studies and the science, technology and policy aspects, in order to equip students with both knowledge and analytical tools for approaching pressing environmental problems. Topics include planetary boundaries and sustainable development goals, the reactive nitrogen cycle, global land use change, biodiversity losses, transboundary air pollution, co-mitigation of air pollution and greenhouse gas emissions, international trade and environmental justice, etc. Through guided literature reading, seminar discussions, group presentations and projects, students will develop critical thinking skills, interdisciplinary research design capabilities, and passion for sustainable development, which could be adopted for their own future research.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 6900A,Independent Study,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,,"Study on selected topics in the Earth, Ocean and Atmospheric Sciences under the supervision of a faculty member.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 6990,MPhil Thesis Research,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Master's thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
EOAS 7990,Doctoral Thesis Research,EOAS,2024-1,EOAS,EOAS,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/EOAS
DSAA 1001,Introduction to Data Science and Analytics,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"LI, Lei;WANG, Wei;ZHANG, Yongqi;LI, Lei;WANG, Wei;ZHANG, Yongqi","Data science changes the way people process data in different areas. It has promoted the development of many subjects. This course introduces beginners to the whole lifecycle of data science problems and solutions. The course will help students comprehensively understand the basic knowledge of data science and use computer techniques to handle the real-life data science problems. Topics covered include: data collection and processing, computer-oriented modelling techniques, relationship with other mathematics, and case studies.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 2011,Machine Learning,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"YANG, Weikai;ZHONG, Zixin;YANG, Weikai;ZHONG, Zixin;YANG, Weikai;ZHONG, Zixin;YANG, Weikai;ZHONG, Zixin","Machine learning is an exciting and fast-growing field that leverages data to build models which can make predictions or decisions. This is an introductory machine learning course that covers fundamental topics in model assessment and selection, supervised learning (e.g. linear regression, logistic regression, neural networks, deep learning, support vector machines, Bayes classifiers, decision trees, ensemble methods); unsupervised learning (e.g. clustering, dimensionality reduction); and reinforcement learning. Students will also gain practical programming skills in machine learning to tackle real-world problems.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 2031,Database Management Systems,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"TANG, Nan;TANG, Nan","Topics include: principles of database systems; conceptual modeling and data models; logical and physical database design; query languages and query processing; database services including concurrency, crash recovery, security and integrity. Hands-on DBMS experience.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 2043,Design and Analysis of Algorithms,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"WANG, Wei;ZHANG, Yanlin;WANG, Wei;ZHANG, Yanlin","This course introduces core data structure and algorithms, which are fundamental to data science and analytics. As an important course that bridges students to a number of advanced courses, it covers topics in asymptotic complexity analysis, typical data structures (stacks, queues, trees, and graphs), sorting, searching, data structure-specific algorithms, algorithmic strategies (e.g., divide-and-conquer, greedy, and dynamic programming), analysis and measurement of programs.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 5009,Deep Learning in Data Science,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"WANG, Wenjia","In this course, theories, models, algorithms of deep learning and their application to data science will be introduced. The basics of machine learning will be reviewed at first, then some classical deep learning models will be discussed, including AlexNet, LeNet, CNN, RNN, LSTM, and Bert. In addition, some advanced deep learning techniques will also be studied, such as reinforcement learning, transfer learning and graph neural networks. Finally, end-to-end solutions to apply these techniques in data science applications will be discussed, including data preparation, data enhancement, data sampling and optimizing training and inference processes.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 5012,Advanced Database Management for Data Science,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LI, Lei","In this course, the concepts and implementation schemes in advanced database management systems for data science applications will be introduced, such as disk and memory management, advanced access methods, implementation of relational operators, query processing and optimization, transactions and concurrency control. It also introduces emerging database related techniques for data science.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 5013,Advanced Machine Learning,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"CHU, Xiaowen;ZHONG, Zixin","In this course, advanced algorithms for data science will be introduced. It covers most of the classical advanced topics in algorithm design, as well as some recent algorithmic developments, in particular algorithms for data science and analytics.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 5037,Introduction to Graph Learning,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"ZHANG, Yongqi","Graph, as a very expressive model, has been widely used to model real-world entities and their relationships in application-specific networks. In this course, students will gain a thorough introduction to the basics of graph theories, as well as cutting-edge research in deep learning for graphs. The topics include graph embeddings, graph neural networks, graph clustering models, graph generative models, adversarial attacks on graphs, graph reasoning, etc.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6000O,Table Representation Learning,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LUO, Yuyu","Tables are a crucial component of data management and analysis, yet their potential is often underutilized. This project-driven course addresses this gap by equipping students with both theoretical knowledge and practical skills in table representation learning. The course is divided into four parts: (1) Theory: Core concepts of table representation learning, including tabular data analysis, representation learning, multimodal integration (with code and text), and retrieval-augmented generation (RAG). (2) Tools and Techniques: Exploration of advanced tools such as deep learning models, large language models (LLMs), multimodal LLMs, and RAG methods, with a focus on pre-training paradigms for table-related tasks. (3) Table Analysis Applications: Practical applications, including Natural language to SQL (NL2SQL), Table Question Answering (TableQA), Table Visualization, and Data storytelling, demonstrating the use of table representation learning in real-world scenarios. (4) Course Project: A solo project where students apply the concepts and tools learned to address a real-world problem related to table representation learning.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6000P,Game Theory,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"DING, Ningning","Game theory offers powerful insights into strategic decision-making, with promising applications in fields such as human-AI interaction, multi-agent systems, adversarial machine learning, and social networks. This course introduces the core concepts of game theory, focusing on the study of interactions among rational decision-makers. Students will explore foundational topics such as utility, Nash equilibrium, dominant strategies, mixed strategies, and both static and dynamic games. Through practical examples, the course will demonstrate how game theory is applied to optimize strategies in artificial intelligence, network systems, economics, and our daily life. By the end of the course, students will be equipped to analyze and model interactions, making it a vital tool for modern problem-solving in AI, data science, and beyond.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6000Q,Large Language Models: Theory and Practice,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"WEI, Jiaheng","This course delves into the foundational theories and cutting-edge advancements in large language models (LLMs). The course emphasizes LLM's application in real-world scenarios, focusing on topics such as domain-specific LLMs (e.g., continuous pretraining, SFT, and RLHF), data-intensive and document-intensive scenarios (e.g., NL2SQL RAG). Active student participation is encouraged through mini-projects, presentations, and discussions, providing hands-on experience in leveraging LLMs for real-world challenges.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6010,Industry Round Table,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,1,39,3,GZ,1,13,,"This course offers students opportunities to learn the possible industry topics and supervisors that they will work with during their internship. The goals are: (a) understand (i) problems in industry, (ii) existing data-sets, (iii) AI models, (iv) service scenario and KPI, (v) challenges; (b) propose industrial projects based on the understanding; and (c) matching for their industrial projects. This course is only available for MSc(DCAI) students. Graded P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6018A,Independent Study,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,,"In this course, an independent research project will be carried out under the supervision of a faculty member.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6018B,Independent Study,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,1,39,3,GZ,1,13,,"In this course, an independent research project will be carried out under the supervision of a faculty member.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6102,Data Science and Analytics Program Seminar II,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,1,1,1,GZ,1,13,"TANG, Nan","In this course, students are required to attend at least 6 seminars offered by the program. The program will offer at least 10 seminars related to the state-of-the-art research on data science and analytics in each term. These seminars will help students to broaden the horizons of their knowledge on data science and analytics. Graded P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6800,Independent Project,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,6,39,3,GZ,1,13,,"In this course, the student will work on a practical project. The independent project is related to real problems existing in data science and AI application domains. The student needs to conduct literature survey, method comparison, solution selection and implementation, experimental study and write the final report. The course will train students skills on proposing end-to-end solution for a realapplications problem. This course is only available for MSc(DCAI) students. Graded P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6921,Industry Internship â¡,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,,"In this course, students will be trained in the industry. They will work under the guidance of their supervisors (industry and academia) to practice what they have learned in the program, and apply the data science and AI knowledge and techniques to various real-life problems. In Part II, students are required to complete an Intermediate report with oral examination on the studentâs progress and industry collaboration progress. This course is only available for MSc(DCAI) students. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6922,Industry Internship â¢,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,,"In this course, students will be trained in the industry. They will work under the guidance of their supervisors (industry and academia) to practice what they have learned in the program, and apply the data science and AI knowledge and techniques to various real-life problems. In Part III, students are required to complete a Final report with oral examination on the final output from the internship project and whether the student indeed knows how to apply AI techniques to concrete data science applications. This course is only available for MSc(DCAI) students. Graded PP, P or F.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 6990,MPhil Thesis Research,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Master's thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
DSAA 7990,Doctoral Thesis Research,DSAA,2024-1,DSAA,DSAA,Graduate,Regular,Letter Grade,0,39,3,GZ,1,13,,Original and independent doctoral thesis research supervised by co-advisors from different disciplines. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/DSAA
UFUG 1103,Calculus II,UFUG,2024-1,UFUG,UFUG,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"WU, Wei;WU, Wei;ZHANG, Leifu;WU, Wei;WU, Wei;ZHANG, Leifu","This course is the second of a year-long sequence of two introductory courses in one-variable calculus, intended for first year undergraduate students. The emphasis is on the understanding of foundational concepts and practical skills in applying calculus, which are essential for their future study in various fields. Topics include definite and indefinite integrals, numerical calculation, applications to geometry and physics, and infinite series.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UFUG
UFUG 1106,Honors Calculus II,UFUG,2024-1,UFUG,UFUG,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"SONG, IICKHO;SONG, IICKHO;SUN, Ying;KWOK, YUE KUEN;HU, Jishan;CHENG, Ziteng;HU, Jishan;SONG, IICKHO;SONG, IICKHO;SUN, Ying;KWOK, YUE KUEN;HU, Jishan;CHENG, Ziteng;HU, Jishan","This course is the second of a year-long sequence of two courses in one-variable calculus, intended for first year undergraduate students with strong mathematical background. Besides the understanding of foundational concepts and practical skills in applying calculus, the course puts emphasis on rigorous reasoning of practical facts and the proof of certain mathematical theorems. Topics include definite and indefinite integrals, numerical calculation, applications to geometry and physics, and infinite series.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UFUG
UFUG 1301,General Chemistry,UFUG,2024-1,UFUG,UFUG,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"FANG, Ting;HE, Qiao;JI, Qixing;FANG, Ting;HE, Qiao;JI, Qixing;FANG, Ting;HE, Qiao;JI, Qixing;FANG, Ting;HE, Qiao;JI, Qixing;JI, Qixing;ZHANG, Yunjuan;JI, Qixing;ZHANG, Yunjuan;JI, Qixing;ZHANG, Yunjuan;JI, Qixing;ZHANG, Yunjuan","This course serves as a gateway to basic chemical theories and principles, demonstrating a microscopic view to the materialized world that built from atoms. Starting from chemical notation and units, lectures will introduce nuclei structure and elemental periodicity, redox reactions, basic inorganic and organic substances with associated chemical bonding and forms, fundamental properties of gases, acid/base theories, chemical kinetics and equilibrium, principles of thermodynamics, and electrochemistry. Additionally, two mini labs providing hands-on experience supplement the lecture materials.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UFUG
UFUG 1302,Honors Chemistry I,UFUG,2024-1,UFUG,UFUG,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"CAO, Bei;WANG, Jun;CAO, Bei;WANG, Jun;CAO, Bei;WANG, Jun;CAO, Bei;WANG, Jun;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan;CAO, Bei;ZHANG, Yunjuan","This course is designed for students we have acquired solid chemistry knowledge in high school (e.g., HKDSE 1.0X Chemistry, Mainland Gaokao Chemistry, etc.) and intend to pursue a degree related to chemistry (including but not limited to materials, energy, biology, environment, manufacturing, etc.). It is Part I of the Chemistry fundamental course (Honors  Chemistry I/II). The course is modularized into 3 sections to accommodate the teaching and learning needs of students from different departments. With acquisition of this course, the students will have a deeper understanding of atomic/molecular structure and chemical bonding (Module 1), chemical reaction and thermochemistry (Module 2), and the general properties of substances (gases/liquids/solids) (Module 3).",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/UFUG
